"name","party","Q_1","Q_2","Q_3","Q_4","Q_5","Q_6","Q_7","Q_8","Q_9","Q_10","Q_11","Q_12","Q_13","Q_14","Q_15","Q_16","Q_17","Q_18","Q_19","Q_20","Q_21","Q_22","Q_23","Q_24","Q_25","Q_26","Q_27","Q_28","Q_29"
"Indrek Adler","Parempoolsed",3,3,1,4,1,3,2,1,2,4,3,3,3,4,NA,3,NA,2,2,4,NA,1,1,2,3,4,4,4,4
"Katrin Ekštein","Parempoolsed",3,NA,2,3,3,3,2,2,3,3,4,3,NA,3,NA,4,3,3,2,3,NA,2,2,NA,2,3,3,3,2
"Tiiu Nigul","Parempoolsed",2,1,1,3,1,3,2,1,2,3,3,1,3,NA,NA,3,NA,2,1,3,3,2,2,4,4,4,4,4,4
"Martin Kleinert","Parempoolsed",1,1,1,2,2,3,2,1,3,3,4,1,4,2,3,3,NA,1,1,4,3,1,3,2,4,4,4,3,3
"Tanel Uibo","Parempoolsed",2,1,2,3,2,2,3,NA,2,4,3,NA,2,NA,NA,3,NA,2,1,4,NA,2,2,3,3,4,3,3,3
"Tõnu Meijel","Reformierakond",3,2,2,2,4,3,3,2,2,4,3,4,3,3,NA,3,1,1,2,4,4,2,2,3,3,3,2,3,3
"Ants Liimets","EKRE",2,3,3,1,4,3,4,1,3,3,4,3,3,NA,NA,3,2,2,2,3,2,4,NA,2,3,4,3,2,3
"Adriana Jordan","Parempoolsed",2,1,1,3,1,3,2,1,2,3,3,1,3,NA,NA,3,NA,2,1,3,3,2,2,4,4,4,4,4,4
"Aimur Liiva","Parempoolsed",2,2,1,3,4,3,3,2,3,3,3,2,3,3,2,4,3,2,1,3,2,2,2,4,3,4,4,2,4
"Kairit Pihlak","SDE",2,3,2,2,2,3,2,3,2,3,4,2,2,3,2,3,4,4,1,4,2,1,3,1,2,3,4,3,3
"Annika Veidenberg","EKRE",3,3,4,2,4,1,2,1,1,3,4,2,4,4,4,3,3,4,1,2,1,1,1,1,2,3,1,1,1
"Heino Märks","EKRE",3,2,4,2,4,3,4,1,2,1,4,1,4,1,4,2,2,1,1,2,2,1,3,1,2,4,4,1,1
"Alar Laneman","EKRE",4,1,4,4,4,2,3,1,1,1,4,2,4,1,4,1,NA,1,1,4,1,1,1,4,1,2,4,1,1
"Helle-Moonika Helme","EKRE",3,3,4,2,4,2,1,1,3,1,4,1,4,1,4,2,2,2,1,2,1,1,3,1,1,4,4,1,2
"Kalmar Luisk","EKRE",2,3,3,1,4,2,4,1,3,2,4,1,4,1,4,2,2,2,1,4,1,1,4,3,4,3,4,1,1
"Indrek Kalda","EKRE",3,1,NA,4,4,NA,4,2,2,3,4,2,3,1,4,NA,2,1,1,3,2,1,2,2,1,3,3,1,2
"Jaan Mihkel Uustalu","Parempoolsed",2,3,1,3,2,2,2,2,3,3,4,1,2,4,1,3,3,3,3,3,4,1,2,3,4,4,3,2,3
"Kert Kingo","EKRE",2,4,4,1,4,1,4,1,4,1,4,1,4,1,4,NA,1,1,1,2,1,1,2,1,2,3,2,1,1
"Maido Nõlvak","SDE",3,3,4,3,4,4,3,2,2,3,3,2,4,3,2,3,3,2,2,3,2,2,1,2,2,3,4,2,2
"Lilia Müller","EKRE",4,2,4,2,4,1,2,1,2,1,4,1,4,1,4,2,2,3,1,1,2,1,3,1,2,3,2,1,1
"Priit Põldmäe","Isamaa",3,1,2,2,NA,4,NA,2,2,3,4,2,3,3,4,3,NA,NA,2,4,1,1,4,4,2,3,3,4,1
"Mati Kuklane","EKRE",2,2,3,3,4,2,3,3,3,3,4,1,4,1,4,2,2,1,1,3,1,1,3,2,2,3,3,2,2
"Matti Silla","EKRE",1,1,1,4,4,2,4,1,2,1,3,1,3,1,4,1,2,1,1,3,1,1,1,4,3,3,1,1,1
"Leo Bergström","EKRE",3,1,4,2,4,3,3,1,3,1,4,1,4,1,4,2,2,1,1,2,2,1,3,1,1,4,4,1,1
"Rudolf Jeeser","EKRE",4,1,4,4,4,3,4,1,3,1,4,1,4,1,4,2,1,1,1,3,1,1,2,3,2,4,4,1,2
"Ranno Pool","EKRE",3,3,4,2,4,2,4,1,3,2,3,1,4,1,4,NA,NA,1,1,2,1,1,2,2,1,4,1,1,1
"Ingrid Mühling","Isamaa",2,1,1,3,2,3,4,1,3,1,3,3,3,2,3,4,4,1,2,4,3,1,3,3,NA,4,4,2,3
"Valdis Toomast","Isamaa",3,1,1,3,1,3,4,1,3,2,4,4,4,2,4,3,2,2,1,3,3,1,3,2,NA,3,3,2,3
"Mikk Lõhmus","Isamaa",3,2,1,3,3,3,4,1,3,2,4,2,4,1,4,3,4,2,1,3,1,1,3,3,2,3,2,3,3
"Merike Käver","Isamaa",4,2,3,3,2,3,4,3,2,2,4,2,4,2,4,3,4,1,1,3,1,1,4,2,3,1,2,2,2
